bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
abreuwi02,2026,Wilyer Abreu,27,Maj-AL,Boston,95,413,364,49,97,59,20,3,15,49,41,2,39,84,1,1,5,7,6,3,0.266,0.338,0.462,0.8
duranja01,2026,Jarren Duran,29,Maj-AL,Boston,90,387,350,43,67,42,10,2,13,48,27,0,27,116,4,1,5,2,14,1,0.191,0.254,0.343,0.597
rafaece01,2026,Ceddanne Rafaela,25,Maj-AL,Boston,93,381,355,44,99,63,25,3,8,41,18,0,18,75,6,2,0,8,13,6,0.279,0.325,0.434,0.758
contrwi01,2026,Willson Contreras,34,Maj-AL,Boston,90,372,318,47,90,51,16,2,21,62,36,1,35,93,15,0,3,7,2,2,0.283,0.379,0.544,0.923
durbica01,2026,Caleb Durbin,26,Maj-AL,Boston,90,330,297,40,70,42,18,1,9,40,22,0,22,46,6,3,2,6,10,4,0.236,0.3,0.394,0.694
mayerma01,2026,Marcelo Mayer,23,Maj-AL,Boston,70,228,205,19,45,32,10,0,3,22,16,0,16,44,3,0,3,5,3,0,0.22,0.282,0.312,0.594
yoshima02,2026,Masataka Yoshida,32,Maj-AL,Boston,64,210,187,25,50,34,11,1,4,18,19,0,19,24,3,0,1,1,2,0,0.267,0.343,0.401,0.744
narvaca01,2026,Carlos Narváez,27,Maj-AL,Boston,55,180,160,17,32,23,6,0,3,9,12,0,12,57,3,3,2,6,1,0,0.2,0.266,0.294,0.559
storytr01,2026,Trevor Story,33,Maj-AL,Boston,41,176,165,16,34,24,7,0,3,19,8,0,8,57,1,0,2,6,4,0,0.206,0.244,0.303,0.547
monasan01,2026,Andruw Monasterio,29,Maj-AL,Boston,58,173,160,20,38,18,14,1,5,16,12,0,12,38,0,1,0,2,2,3,0.238,0.291,0.431,0.722
wongco01,2026,Connor Wong,30,Maj-AL,Boston,43,137,113,14,32,23,8,0,1,15,15,0,15,28,4,4,1,1,3,1,0.283,0.383,0.381,0.764
kineris01,2026,Isiah Kiner-Falefa,31,Maj-AL,Boston,47,132,119,19,33,27,4,0,2,13,12,0,12,18,0,1,0,3,7,2,0.277,0.344,0.361,0.705
anthoro01,2026,Roman Anthony,22,Maj-AL,Boston,30,130,109,12,25,18,5,1,1,5,20,1,19,33,1,0,0,0,2,0,0.229,0.354,0.321,0.675
gaspemi01,2026,Mickey Gasper,30,Maj-AL,Boston,34,119,107,11,26,20,5,1,0,7,9,0,9,21,1,1,1,2,0,1,0.243,0.305,0.308,0.613
seiglan01,2026,Anthony Seigler,27,Maj-AL,Boston,25,98,86,13,22,13,7,0,2,7,9,0,9,18,1,1,1,1,2,0,0.256,0.33,0.407,0.737
gonzaro01,2026,Romy Gonzalez,29,Maj-AL,Boston,13,51,45,5,9,6,1,1,1,5,4,0,4,16,2,0,0,1,1,1,0.2,0.294,0.333,0.627
sogarni01,2026,Nick Sogard,28,Maj-AL,Boston,12,41,35,3,9,6,2,1,0,2,5,0,5,6,0,1,0,1,0,0,0.257,0.35,0.371,0.721
eatonna01,2026,Nate Eaton,29,Maj-AL,Boston,14,39,32,3,4,1,2,0,1,5,5,0,5,12,2,0,0,0,2,0,0.125,0.282,0.281,0.563
chengts01,2026,Tsung-Che Cheng,24,Maj-AL,Boston,12,38,33,6,10,9,1,0,0,5,4,0,4,11,0,0,1,1,0,2,0.303,0.368,0.333,0.702
