bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
rafaece01,2026,Ceddanne Rafaela,25,Maj-AL,Boston,13,61,58,9,16,9,6,0,1,6,2,0,2,11,0,1,0,0,3,0,0.276,0.3,0.431,0.731
abreuwi02,2026,Wilyer Abreu,27,Maj-AL,Boston,13,59,48,12,12,3,4,0,5,10,8,1,7,12,2,0,1,0,0,1,0.25,0.373,0.646,1.019
durbica01,2026,Caleb Durbin,26,Maj-AL,Boston,13,56,48,10,13,10,1,0,2,5,5,0,5,5,2,1,0,0,2,1,0.271,0.364,0.417,0.78
duranja01,2026,Jarren Duran,29,Maj-AL,Boston,13,52,41,5,6,4,1,0,1,9,7,0,7,14,1,1,2,0,2,2,0.146,0.275,0.244,0.518
seiglan01,2026,Anthony Seigler,27,Maj-AL,Boston,11,49,42,6,8,5,2,0,1,4,4,0,4,8,1,1,1,1,1,0,0.19,0.271,0.31,0.58
gonzaro01,2026,Romy Gonzalez,29,Maj-AL,Boston,11,44,38,5,7,4,1,1,1,6,4,0,4,14,2,0,0,0,1,1,0.184,0.295,0.342,0.638
monasan01,2026,Andruw Monasterio,29,Maj-AL,Boston,9,36,30,5,10,3,4,1,2,5,5,0,5,5,0,1,0,0,1,0,0.333,0.429,0.733,1.162
contrwi01,2026,Willson Contreras,34,Maj-AL,Boston,8,34,28,7,8,2,2,0,4,11,5,0,5,5,1,0,0,0,0,1,0.286,0.412,0.786,1.197
yoshima02,2026,Masataka Yoshida,32,Maj-AL,Boston,8,29,27,6,10,5,3,0,2,7,2,0,2,3,0,0,0,0,0,0,0.37,0.414,0.704,1.117
wongco01,2026,Connor Wong,30,Maj-AL,Boston,8,26,19,2,4,4,0,0,0,1,4,0,4,6,1,2,0,0,1,0,0.211,0.375,0.211,0.586
narvaca01,2026,Carlos Narváez,27,Maj-AL,Boston,6,22,20,2,5,4,0,0,1,4,1,0,1,6,0,1,0,0,0,0,0.25,0.286,0.4,0.686
chengts01,2026,Tsung-Che Cheng,24,Maj-AL,Boston,7,21,18,5,8,8,0,0,0,3,3,0,3,8,0,0,0,0,0,1,0.444,0.524,0.444,0.968
eatonna01,2026,Nate Eaton,29,Maj-AL,Boston,3,10,9,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0.1,0,0.1
harribr02,2026,Brett Harris,28,Maj-AL,Boston,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0,0.333
