bbref_id,season,Name,Age,Level,Team,G,GS,W,L,SV,IP,H,R,ER,uBB,BB,SO,HR,HBP,ERA,AB,X1B,X2B,X3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB.FB,LD,PU,WHIP,BAbip,SO9,SO.W,SO_perc,uBB_perc,SO_uBB
grayso01,2026,Sonny Gray,36,Maj-AL,Boston,17,17,11,1,NA,95.2,81,28,27,24,24,85,10,3,2.54,353,52,18,1,0,6,2,9,3,1,382,1392,0.65,0.18,0.1,0.48,0.24,0.04,1.098,0.273,8,3.54,0.223,0.063,0
earlyco01,2026,Connelly Early,24,Maj-AL,Boston,17,17,7,5,NA,91.2,81,35,35,34,34,93,15,9,3.44,344,54,12,0,0,11,2,8,1,0,390,1528,0.64,0.17,0.1,0.44,0.2,0.06,1.255,0.277,9.1,2.74,0.238,0.087,0
suarera01,2026,Ranger Suarez,30,Maj-AL,Boston,17,17,4,3,NA,91.1,80,34,32,26,26,97,5,2,3.15,345,56,18,1,0,5,3,5,0,1,376,1447,0.63,0.17,0.11,0.41,0.29,0.07,1.161,0.305,9.6,3.73,0.258,0.069,0
tollepa01,2026,Payton Tolle,23,Maj-AL,Boston,15,15,5,6,NA,84,65,33,29,25,25,87,8,2,3.11,312,39,17,1,0,1,1,4,2,2,341,1272,0.69,0.14,0.13,0.34,0.22,0.13,1.071,0.261,9.3,3.48,0.255,0.073,0
bellobr01,2026,Brayan Bello,27,Maj-AL,Boston,13,8,2,6,NA,65.1,80,48,44,24,24,49,11,1,6.06,266,55,14,0,0,4,4,6,2,0,296,1102,0.64,0.15,0.11,0.51,0.23,0.02,1.592,0.329,6.8,2.04,0.166,0.081,0
benneja01,2026,Jake Bennett,25,Maj-AL,Boston,9,9,5,3,NA,53.2,38,14,14,8,9,38,3,2,2.35,188,31,4,0,1,7,3,8,0,0,203,720,0.67,0.15,0.11,0.5,0.17,0.1,0.876,0.233,6.4,4.22,0.187,0.039,0
watsory01,2026,Ryan Watson,28,Maj-AL,Boston,31,0,1,NA,1,50.2,47,26,26,18,18,40,8,3,4.62,193,28,9,2,0,3,1,2,0,0,217,813,0.63,0.14,0.11,0.37,0.28,0.11,1.283,0.267,7.1,2.22,0.184,0.083,0
moranjo01,2026,Jovani Morán,29,Maj-AL,Boston,26,3,2,2,NA,40.1,20,12,12,17,18,46,5,1,2.68,138,11,4,0,1,1,2,2,0,0,159,606,0.62,0.16,0.14,0.37,0.19,0.11,0.942,0.169,10.3,2.56,0.289,0.107,0
weissgr01,2026,Greg Weissert,31,Maj-AL,Boston,40,0,2,2,NA,38.1,35,17,16,11,12,35,6,1,3.76,146,25,4,0,1,1,1,2,1,0,161,616,0.67,0.17,0.1,0.43,0.2,0.07,1.226,0.274,8.2,2.92,0.217,0.068,0
whitlga01,2026,Garrett Whitlock,30,Maj-AL,Boston,36,0,4,1,2,35,26,9,8,6,6,38,3,0,2.06,127,19,4,0,0,1,0,2,0,0,134,503,0.7,0.13,0.15,0.38,0.24,0.12,0.914,0.267,9.8,6.33,0.284,0.045,0
chapmar01,2026,Aroldis Chapman,38,Maj-AL,Boston,32,0,1,3,21,30.2,23,8,7,14,14,38,1,1,2.05,114,16,5,1,0,2,0,7,1,0,129,490,0.67,0.15,0.14,0.45,0.18,0.11,1.207,0.293,11.2,2.71,0.295,0.109,0
crochga01,2026,Garrett Crochet,27,Maj-AL,Boston,6,6,3,3,NA,30,33,23,21,11,11,37,5,4,6.3,122,19,9,0,0,3,0,0,0,0,138,518,0.64,0.14,0.11,0.37,0.36,0.02,1.467,0.35,11.1,3.36,0.268,0.08,0
