bbref_id,season,Name,Age,Level,Team,G,GS,W,L,SV,IP,H,R,ER,uBB,BB,SO,HR,HBP,ERA,AB,X1B,X2B,X3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB.FB,LD,PU,WHIP,BAbip,SO9,SO.W,SO_perc,uBB_perc,SO_uBB
earlyco01,2026,Connelly Early,24,Maj-AL,Boston,17,17,7,5,NA,91.2,81,35,35,34,34,93,15,9,3.44,344,54,12,0,0,11,2,8,1,0,390,1528,0.64,0.17,0.1,0.44,0.2,0.06,1.255,0.277,9.1,2.74,0.238,0.087,0
suarera01,2026,Ranger Suarez,30,Maj-AL,Boston,16,16,4,3,NA,88.2,74,31,29,26,26,92,5,2,2.94,330,51,17,1,0,5,3,4,0,1,361,1394,0.63,0.17,0.1,0.41,0.29,0.07,1.128,0.292,9.3,3.54,0.255,0.072,0
grayso01,2026,Sonny Gray,36,Maj-AL,Boston,15,15,9,1,NA,83.2,72,26,25,21,21,75,9,3,2.69,312,45,17,1,0,3,1,7,3,1,337,1231,0.65,0.17,0.1,0.47,0.26,0.05,1.112,0.275,8.1,3.57,0.223,0.062,0
tollepa01,2026,Payton Tolle,23,Maj-AL,Boston,13,13,4,6,NA,74.1,60,32,28,23,23,74,8,2,3.39,278,37,14,1,0,1,1,3,2,2,305,1115,0.69,0.14,0.12,0.35,0.23,0.13,1.117,0.264,9,3.22,0.243,0.075,0
bellobr01,2026,Brayan Bello,27,Maj-AL,Boston,12,8,2,6,NA,61,78,47,43,24,24,44,10,1,6.34,252,54,14,0,0,3,4,6,2,0,282,1047,0.64,0.14,0.11,0.51,0.23,0.02,1.672,0.337,6.5,1.83,0.156,0.085,0
watsory01,2026,Ryan Watson,28,Maj-AL,Boston,29,0,NA,NA,1,47.2,46,25,25,18,18,36,7,3,4.72,183,28,9,2,0,3,1,2,0,0,207,775,0.63,0.14,0.11,0.37,0.28,0.11,1.343,0.277,6.8,2,0.174,0.087,0
moranjo01,2026,Jovani Morán,29,Maj-AL,Boston,22,3,1,2,NA,34.2,20,12,12,16,17,41,5,1,3.12,121,11,4,0,1,1,2,2,0,0,141,545,0.61,0.16,0.14,0.38,0.18,0.09,1.067,0.195,10.6,2.41,0.291,0.113,0
benneja01,2026,Jake Bennett,25,Maj-AL,Boston,6,6,2,3,NA,33,28,12,12,6,7,25,2,1,3.27,117,22,4,0,1,6,3,8,0,0,129,482,0.68,0.12,0.12,0.55,0.14,0.11,1.061,0.28,6.8,3.57,0.194,0.047,0
weissgr01,2026,Greg Weissert,31,Maj-AL,Boston,34,0,NA,2,NA,32.1,31,16,15,10,11,31,5,1,4.18,125,22,4,0,1,0,1,2,1,0,139,546,0.66,0.17,0.1,0.41,0.22,0.05,1.299,0.289,8.6,2.82,0.223,0.072,0
crochga01,2026,Garrett Crochet,27,Maj-AL,Boston,6,6,3,3,NA,30,33,23,21,11,11,37,5,4,6.3,122,19,9,0,0,3,0,0,0,0,138,518,0.64,0.14,0.11,0.37,0.36,0.02,1.467,0.35,11.1,3.36,0.268,0.08,0
whitlga01,2026,Garrett Whitlock,30,Maj-AL,Boston,28,0,4,1,1,27.2,23,9,8,6,6,32,3,0,2.6,103,16,4,0,0,0,0,2,0,0,110,415,0.7,0.13,0.16,0.38,0.26,0.15,1.048,0.294,10.4,5.33,0.291,0.055,0
chapmar01,2026,Aroldis Chapman,38,Maj-AL,Boston,26,0,NA,3,16,24.2,19,7,6,12,12,32,0,1,2.19,93,13,5,1,0,1,0,4,1,0,106,407,0.67,0.16,0.14,0.46,0.18,0.08,1.257,0.311,11.7,2.67,0.302,0.113,0
samanty01,2026,Tyler Samaniego,27,Maj-AL,Boston,20,1,NA,3,NA,20.1,22,8,6,8,8,17,1,2,2.66,77,19,2,0,0,1,1,1,1,0,90,315,0.62,0.18,0.08,0.49,0.24,0.06,1.475,0.35,7.5,2.13,0.189,0.089,0
couloda01,2026,Danny Coulombe,36,Maj-AL,Boston,27,0,NA,2,NA,19.2,16,10,10,11,11,10,1,1,4.58,72,14,1,0,0,2,0,1,0,0,84,335,0.6,0.16,0.07,0.4,0.24,0.13,1.373,0.246,4.6,0.91,0.119,0.131,-0
slateju01,2026,Justin Slaten,28,Maj-AL,Boston,22,0,1,4,NA,19,26,16,13,5,5,25,4,0,6.16,80,18,4,0,0,1,0,3,0,0,87,323,0.65,0.17,0.12,0.39,0.26,0.02,1.632,0.431,11.8,5,0.287,0.057,0
kellyza01,2026,Zack Kelly,31,Maj-AL,Boston,17,0,NA,2,NA,16.1,14,8,6,7,7,14,1,1,3.31,60,12,1,0,0,1,2,1,0,0,71,283,0.6,0.17,0.08,0.47,0.31,0.04,1.286,0.277,7.7,2,0.197,0.099,0
