bbref_id,season,Name,Age,Level,Team,G,GS,W,L,SV,IP,H,R,ER,uBB,BB,SO,HR,HBP,ERA,AB,X1B,X2B,X3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB.FB,LD,PU,WHIP,BAbip,SO9,SO.W,SO_perc,uBB_perc,SO_uBB
benneja01,2026,Jake Bennett,25,Maj-AL,Boston,3,3,3,NA,NA,20.2,10,2,2,2,2,13,1,1,0.87,71,9,0,0,0,1,0,0,0,0,74,238,0.66,0.19,0.09,0.41,0.22,0.07,0.581,0.158,5.7,6.5,0.176,0.027,0
grayso01,2026,Sonny Gray,36,Maj-AL,Boston,3,3,3,NA,NA,18,14,3,3,7,7,15,2,0,1.5,63,10,2,0,0,4,1,3,0,0,71,252,0.6,0.19,0.06,0.51,0.16,0,1.167,0.255,7.5,2.14,0.211,0.099,0
tollepa01,2026,Payton Tolle,23,Maj-AL,Boston,2,2,1,NA,NA,9.2,5,1,1,2,2,13,0,0,0.93,34,2,3,0,0,0,0,1,0,0,36,157,0.67,0.15,0.18,0.29,0.19,0.19,0.724,0.238,12.1,6.5,0.361,0.056,0
sandopa02,2026,Patrick Sandoval,29,Maj-AL,Boston,2,2,NA,NA,NA,9.1,14,6,5,2,2,10,1,0,4.82,40,9,4,0,0,1,0,2,0,0,42,141,0.67,0.18,0.11,0.33,0.3,0.13,1.714,0.448,9.6,5,0.238,0.048,0
whitlga01,2026,Garrett Whitlock,30,Maj-AL,Boston,8,0,NA,NA,1,7.1,3,0,0,0,0,6,0,0,0,24,3,0,0,0,1,0,0,0,0,24,88,0.73,0.09,0.11,0.39,0.17,0,0.409,0.167,7.4,NA,0.25,0,0
weissgr01,2026,Greg Weissert,31,Maj-AL,Boston,7,0,2,NA,NA,7,5,1,1,1,1,5,1,0,1.29,25,3,1,0,0,1,0,0,0,0,26,82,0.72,0.13,0.12,0.5,0.1,0.15,0.857,0.211,6.4,5,0.192,0.038,0
moranjo01,2026,Jovani Morán,29,Maj-AL,Boston,5,0,1,NA,NA,6.2,1,0,0,1,1,5,0,0,0,21,1,0,0,0,0,0,0,0,0,22,76,0.67,0.2,0.13,0.5,0.19,0.19,0.3,0.063,6.8,5,0.227,0.045,0
rivered01,2026,Eduardo Rivera,23,Maj-AL,Boston,2,2,NA,NA,NA,6,4,3,3,4,4,6,1,0,4.5,22,3,0,0,0,0,0,1,0,0,26,128,0.62,0.17,0.08,0.5,0.13,0.13,1.333,0.2,9,1.5,0.231,0.154,0
chapmar01,2026,Aroldis Chapman,38,Maj-AL,Boston,6,0,1,NA,5,6,4,1,1,2,2,6,1,0,1.5,21,3,0,0,0,1,0,3,0,0,23,83,0.67,0.11,0.14,0.4,0.2,0.2,1,0.214,9,3,0.261,0.087,0
guerrta01,2026,Tyron Guerrero,35,Maj-AL,Boston,4,0,1,NA,NA,5.2,5,0,0,1,1,3,0,0,0,21,5,0,0,0,1,0,0,0,0,22,77,0.7,0.1,0.09,0.61,0.17,0.06,1.059,0.278,4.8,3,0.136,0.045,0
slateju01,2026,Justin Slaten,28,Maj-AL,Boston,5,0,NA,NA,NA,4.1,3,1,1,1,1,7,0,0,2.08,16,2,1,0,0,0,0,0,0,0,17,65,0.71,0.18,0.11,0.56,0.33,0,0.923,0.333,14.5,7,0.412,0.059,0
bellobr01,2026,Brayan Bello,27,Maj-AL,Boston,1,0,NA,NA,NA,4.1,2,1,1,0,0,5,1,0,2.08,14,1,0,0,0,1,0,0,0,0,14,55,0.69,0.25,0.15,0.56,0.11,0,0.462,0.125,10.4,NA,0.357,0,0
watsory01,2026,Ryan Watson,28,Maj-AL,Boston,3,0,1,NA,NA,4,2,1,1,1,1,6,1,0,2.25,14,1,0,0,0,0,0,0,0,0,15,57,0.72,0.16,0.11,0.5,0.25,0,0.75,0.143,13.5,6,0.4,0.067,0
gamboal01,2026,Alec Gamboa,29,Maj-AL,Boston,2,0,NA,NA,1,4,2,0,0,0,0,1,0,0,0,14,1,1,0,0,0,0,0,0,0,14,49,0.78,0.1,0.08,0.54,0.23,0.08,0.5,0.154,2.3,NA,0.071,0,0
suarera01,2026,Ranger Suarez,30,Maj-AL,Boston,1,1,NA,NA,NA,2.2,6,3,3,0,0,5,0,0,10.13,15,5,1,0,0,0,0,1,0,0,15,53,0.7,0.19,0.11,0.5,0.4,0,2.25,0.6,16.9,NA,0.333,0,0
couloda01,2026,Danny Coulombe,36,Maj-AL,Boston,2,0,NA,NA,NA,2.1,2,1,1,4,4,0,0,0,3.86,8,2,0,0,0,1,0,0,0,0,12,51,0.57,0.16,0.04,0.63,0.13,0,2.571,0.25,0,0,0,0.333,-0
