Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Thursday, Mar 26",BOS,A,CIN,W,3,0,,1-0,1,Tied,Crochet,Johnson,Chapman,2:31,D,43897,0.51,1,,2026
2,"Saturday, Mar 28",BOS,A,CIN,L-wo,5,6,11,1-1,3,1.5,Phillips,Slaten,,3:32,D,38298,1.11,-1,,2026
3,"Sunday, Mar 29",BOS,A,CIN,L,2,3,,1-2,4,2.0,Burke,Weissert,Pagán,2:43,D,27084,1.27,-2,,2026
4,"Monday, Mar 30",BOS,A,HOU,L,1,8,,1-3,5,2.0,McCullers,Suarez,,2:36,N,23532,0.78,-3,,2026
5,"Tuesday, Mar 31",BOS,A,HOU,L,2,9,,1-4,5,3.0,Brown,Bello,Bolton,2:30,N,26930,0.63,-4,,2026
6,"Wednesday, Apr 1",BOS,A,HOU,L,4,6,,1-5,5,4.0,Burrows,Crochet,Abreu,2:35,D,25272,0.61,-5,,2026
7,"Friday, Apr 3",BOS,H,SDP,W,5,2,,2-5,4,4.0,Gray,King,Chapman,2:19,D,36233,0.63,1,,2026
8,"Saturday, Apr 4",BOS,H,SDP,L,2,3,,2-6,5,5.0,Morejón,Chapman,Miller,2:50,D,36405,1.27,-1,,2026
9,"Sunday, Apr 5",BOS,H,SDP,L,6,8,,2-7,5,5.0,Estrada,Uberstine,Miller,2:54,D,29240,0.52,-2,,2026
10,"Monday, Apr 6",BOS,H,MIL,L,6,8,,2-8,5,5.5,Ashby,Whitlock,Zerpa,3:13,N,35107,0.94,-3,,2026
11,"Tuesday, Apr 7",BOS,H,MIL,W,3,2,,3-8,5,5.5,Crochet,Misiorowski,Chapman,2:32,N,33193,0.41,1,,2026
12,"Wednesday, Apr 8",BOS,H,MIL,W,5,0,,4-8,5,4.5,Gray,Drohan,,2:36,D,28660,1,2,,2026
13,"Friday, Apr 10",BOS,A,STL,L,2,3,,4-9,5,4.0,May,Kelly,O'Brien,2:38,N,27125,0.79,-1,,2026
14,"Saturday, Apr 11",BOS,A,STL,W,7,1,,5-9,5,3.0,Suarez,Leahy,,2:59,N,31664,0.59,1,,2026
15,"Sunday, Apr 12",BOS,A,STL,W,9,3,,6-9,4,2.0,Bello,Pallante,,2:41,D,25122,0.64,2,,2026
16,"Monday, Apr 13",BOS,A,MIN,L,6,13,,6-10,5,3.0,Ober,Crochet,,2:33,N,14535,1.04,-1,,2026
17,"Tuesday, Apr 14",BOS,A,MIN,L,0,6,,6-11,5,3.5,Abel,Gray,,2:35,N,16220,0.54,-2,,2026
18,"Wednesday, Apr 15",BOS,A,MIN,W,9,5,,7-11,5,3.5,Early,Woods Richardson,,2:41,D,21276,0.98,1,,2026
19,"Friday, Apr 17",BOS,H,DET,W-wo,1,0,10,8-11,4,3.0,Whitlock,Vest,,2:39,N,34866,0.77,2,,2026
20,"Saturday, Apr 18",BOS,H,DET,L,1,4,,8-12,4,4.0,Skubal,Bello,Jansen,2:32,D,36527,1.28,-1,,2026
21,"Sunday, Apr 19",BOS,H,DET,L,2,6,,8-13,4,4.5,Valdez,Crochet,,2:40,D,34650,0.67,-2,,2026
22,"Monday, Apr 20",BOS,H,DET,W,8,6,,9-13,4,4.0,Whitlock,Holton,Chapman,3:10,D,34880,1.04,1,,2026
23,"Tuesday, Apr 21",BOS,H,NYY,L,0,4,,9-14,5,5.0,Gil,Early,,2:43,N,34391,0.92,-1,,2026
24,"Wednesday, Apr 22",BOS,H,NYY,L,1,4,,9-15,5,6.0,Fried,Suarez,,2:28,N,34049,0.92,-2,,2026
25,"Thursday, Apr 23",BOS,H,NYY,L,2,4,,9-16,5,7.0,Schlittler,Coulombe,Bednar,2:28,N,36565,0.79,-3,,2026
26,"Friday, Apr 24",BOS,A,BAL,L,3,10,,9-17,5,8.0,Young,Bello,,2:49,N,26776,0.49,-4,,2026
27,"Saturday, Apr 25",BOS,A,BAL,W,17,1,,10-17,5,8.0,Crochet,Rogers,,2:50,D,33582,0.67,1,,2026
28,"Sunday, Apr 26",BOS,A,BAL,W,5,3,,11-17,5,7.0,Early,Bradish,Chapman,2:40,D,32511,0.63,2,,2026
29,"Monday, Apr 27",BOS,A,TOR,W,5,0,,12-17,5,7.0,Suarez,Cease,,2:30,N,41785,0.72,3,,2026
30,"Tuesday, Apr 28",BOS,A,TOR,L,0,3,,12-18,5,8.0,Yesavage,Tolle,Varland,2:23,N,41949,0.77,-1,,2026
31,"Wednesday, Apr 29",BOS,A,TOR,L,1,8,,12-19,5,8.0,Fisher,Bello,,2:34,D,41314,0.65,-2,,2026
32,"Friday, May 1",BOS,H,HOU,W,3,1,,13-19,5,8.0,Bennett,Burrows,Chapman,2:26,N,34630,0.1,1,,2026
33,"Saturday, May 2",BOS,H,HOU,L,3,6,,13-20,5,9.0,Arrighetti,Early,King,2:55,D,34158,0.78,-1,,2026
34,"Sunday, May 3",BOS,H,HOU,L,1,3,10,13-21,5,10.0,Abreu,Kelly,,3:24,D,35406,0.7,-2,,2026
35,"Monday, May 4",BOS,A,DET,W,5,4,,14-21,5,10.0,Tolle,Vanasco,Chapman,2:37,N,22321,0.56,1,,2026
