id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,player_name,to_team,from_team
888649,2026-03-01,2026-03-01,2026-03-01,ASG,Assigned,RF Natanael Yuten assigned to Boston Red Sox.,Natanael Yuten,Boston Red Sox,NA
888840,2026-03-02,2026-03-02,2026-03-02,ASG,Assigned,3B Freili Encarnacion assigned to Boston Red Sox.,Freili Encarnacion,Boston Red Sox,NA
888841,2026-03-02,2026-03-02,2026-03-02,ASG,Assigned,CF Enddy Azocar assigned to Boston Red Sox.,Enddy Azocar,Boston Red Sox,NA
888805,2026-03-02,2026-03-02,2026-03-02,ASG,Assigned,SS Franklin Arias assigned to Boston Red Sox.,Franklin Arias,Boston Red Sox,NA
888932,2026-03-03,2026-03-03,2026-03-03,ASG,Assigned,OF Andrews Opata assigned to Boston Red Sox.,Andrews Opata,Boston Red Sox,NA
889170,2026-03-04,2026-03-04,2026-03-04,ASG,Assigned,OF Will Turner assigned to Boston Red Sox.,Will Turner,Boston Red Sox,NA
889324,2026-03-05,2026-03-05,2026-03-05,ASG,Assigned,C Drew Ehrhard assigned to Boston Red Sox.,Drew Ehrhard,Boston Red Sox,NA
889325,2026-03-05,2026-03-05,2026-03-05,ASG,Assigned,RF Miguel Bleis assigned to Boston Red Sox.,Miguel Bleis,Boston Red Sox,NA
889349,2026-03-05,2026-03-05,2026-03-05,SC,Status Change,RF Miguel Bleis roster status changed by Boston Red Sox.,Miguel Bleis,Boston Red Sox,NA
889350,2026-03-05,2026-03-05,2026-03-05,ASG,Assigned,LF Stanley Tucker assigned to Boston Red Sox.,Stanley Tucker,Boston Red Sox,NA
890729,2026-03-06,2026-03-06,2026-03-06,ASG,Assigned,3B Yohander Linarez assigned to Boston Red Sox.,Yohander Linarez,Boston Red Sox,NA
890725,2026-03-06,2026-03-06,2026-03-06,ASG,Assigned,RF Juan Chacon assigned to Boston Red Sox.,Juan Chacon,Boston Red Sox,NA
890728,2026-03-06,2026-03-06,2026-03-06,ASG,Assigned,CF Justin Barry assigned to Boston Red Sox.,Justin Barry,Boston Red Sox,NA
890726,2026-03-06,2026-03-06,2026-03-06,ASG,Assigned,2B Ahbram Liendo assigned to Boston Red Sox.,Ahbram Liendo,Boston Red Sox,NA
890727,2026-03-06,2026-03-06,2026-03-06,ASG,Assigned,OF Anderson Fermin assigned to Boston Red Sox.,Anderson Fermin,Boston Red Sox,NA
